StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        960.0      0.0        
S0         f          40.0       50.0       0.0        0.0        960.0      0.0        
S3         f          55.0       79.0       0.0        0.0        960.0      0.0        
S4         f          69.0       89.0       0.0        0.0        960.0      0.0        
S7         f          23.0       80.0       0.0        0.0        960.0      0.0        
S10        f          1.0        56.0       0.0        0.0        960.0      0.0        
S11        f          13.0       31.0       0.0        0.0        960.0      0.0        
S14        f          28.0       13.0       0.0        0.0        960.0      0.0        
S15        f          39.0       31.0       0.0        0.0        960.0      0.0        
S16        f          48.0       11.0       0.0        0.0        960.0      0.0        
S17        f          59.0       17.0       0.0        0.0        960.0      0.0        
S19        f          74.0       32.0       0.0        0.0        960.0      0.0        
S20        f          90.0       44.0       0.0        0.0        960.0      0.0        
C2         c          22.0       75.0       30.0       63.0       183.0      10.0       
C5         c          20.0       85.0       20.0       789.0      909.0      10.0       
C7         c          15.0       75.0       20.0       129.0      249.0      10.0       
C9         c          10.0       35.0       20.0       654.0      774.0      10.0          
C14        c          5.0        45.0       10.0       198.0      318.0      10.0       
C15        c          2.0        40.0       20.0       748.0      868.0      10.0       
C16        c          0.0        40.0       20.0       180.0      300.0      10.0       
C18        c          44.0       5.0        20.0       784.0      904.0      10.0       
C19        c          42.0       10.0       40.0       41.0       161.0      10.0       
C20        c          42.0       15.0       10.0       208.0      328.0      10.0       
C21        c          40.0       5.0        10.0       522.0      642.0      10.0        
C24        c          38.0       15.0       10.0       161.0      281.0      10.0        
C26        c          95.0       30.0       30.0       771.0      891.0      10.0           
C29        c          90.0       35.0       10.0       501.0      621.0      10.0            
C31        c          88.0       35.0       20.0       779.0      899.0      10.0       
C33        c          85.0       25.0       10.0       766.0      886.0      10.0          
C35        c          67.0       85.0       20.0       647.0      767.0      10.0       
C37        c          65.0       82.0       10.0       252.0      372.0      10.0          
C39        c          60.0       80.0       10.0       751.0      871.0      10.0       
C40        c          60.0       85.0       30.0       512.0      632.0      10.0       
C41        c          58.0       75.0       20.0       257.0      377.0      10.0       
C42        c          55.0       80.0       10.0       520.0      640.0      10.0       
C43        c          55.0       85.0       20.0       102.0      222.0      10.0           
C45        c          20.0       82.0       10.0       646.0      766.0      10.0       
C46        c          18.0       80.0       10.0       792.0      912.0      10.0            
C49        c          42.0       12.0       10.0       208.0      328.0      10.0       
C50        c          72.0       35.0       30.0       736.0      856.0      10.0       
C52        c          25.0       30.0       3.0        553.0      673.0      10.0        
C54        c          55.0       60.0       16.0       557.0      677.0      10.0       
C55        c          30.0       60.0       16.0       661.0      781.0      10.0       
C56        c          50.0       35.0       19.0       184.0      304.0      10.0       
C58        c          15.0       10.0       20.0       443.0      563.0      10.0          
C60        c          15.0       60.0       17.0       43.0       163.0      10.0       
C61        c          45.0       65.0       9.0        618.0      738.0      10.0            
C65        c          35.0       40.0       16.0       28.0       148.0      10.0       
C66        c          41.0       37.0       16.0       584.0      704.0      10.0          
C69        c          31.0       52.0       27.0       10.0       130.0      10.0       
C70        c          35.0       69.0       23.0       398.0      518.0      10.0          
C73        c          2.0        60.0       5.0        290.0      410.0      10.0       
C74        c          20.0       20.0       8.0        793.0      913.0      10.0       
C78        c          8.0        56.0       27.0       352.0      472.0      10.0        
C81        c          49.0       58.0       10.0       784.0      904.0      10.0         
C83        c          37.0       31.0       14.0       433.0      553.0      10.0       
C85        c          63.0       23.0       2.0        98.0       218.0      10.0       
C87        c          12.0       24.0       13.0       381.0      501.0      10.0       
C89        c          67.0       5.0        25.0       777.0      897.0      10.0       
C90        c          37.0       47.0       6.0        80.0       200.0      10.0       
C91        c          49.0       42.0       13.0       439.0      559.0      10.0           
C96        c          55.0       54.0       26.0       277.0      397.0      10.0       
C97        c          4.0        18.0       35.0       781.0      901.0      10.0       

Q Vehicle fuel tank capacity /211.04/
C Vehicle load capacity /1000.0/
r fuel consumption rate /1.0/
g inverse refueling rate /0.14/
v average Velocity /1.0/
